ArmyRef,VarCount,GroupName
II/36,2,GRAECO-BACTRIAN 250BC - 130BC & GRAECO-INDIAN 170BC - 55BC
II/37,1,PARTHIAN 250BC - 225AD
II/38,3,HSIUNG-NU or JUAN-JUAN 250BC - 555AD
II/39,3,ANCIENT SPANISH 240BC - 20BC
II/40,1,NUMIDIAN & EARLY MOORISH 215BC - 24AD
II/41,2,HAN CHINESE 202BC - 189AD
II/42,4,TAMIL INDIAN & SINHALESE 175BC - 1515AD
II/43,1,MACCABEAN JEWISH 168BC - 104BC
II/44,1,COMMAGENE 163BC -17AD & 38AD - 72AD
II/45,3,SICILIAN & ITALIAN SLAVE REVOLTS 135BC - 71BC
II/46,3,KUSHAN 135BC - 477AD
II/47,7,EARLY GERMAN 115BC - 250AD
II/48,1,MITHRIDATIC 110BC - 47BC
II/49,1,MARIAN ROMAN
II/50,1,HASMONEAN JEWISH 103BC - 63BC
II/51,1,LATE JUDAEAN 63BC - 6AD
II/52,1,DACIAN 60BC - 106AD & CARPI 106AD - 380AD
II/53,1,ANCIENT BRITISH 55BC - 75AD
II/54,2,SCOTS-IRISH 55BC - 841AD
II/55,3,NOBADES\, BLEMMYE & BEJA 30BC - 1500AD
II/56,1,EARLY IMPERIAL ROMAN 25BC - 197AD
II/57,1,LATER MOORISH 25AD - 696AD
II/58,1,ALAN 50AD - 1500AD
II/59,1,JEWISH REVOLTS 66AD -70AD & 132AD -135AD
II/60,1,CALEDONIAN 75AD - 211AD
II/61,4,HSIEN-PI\, T'U-YU-HUN\, WU-HUAN\, PRE-DYNASTIC KHITAN & HSI 90 - 1000AD
II/62,2,ABYSSINIAN & HORN-OF-AFRICA 100AD - 1529AD
II/63,1,THREE KINGDOMS & WESTERN TS'IN (CHIN) CHINESE 189AD - 316AD
II/64,2,MIDDLE IMPERIAL ROMAN 193AD - 324AD
II/65,3,TERVINGI & EARLY VISIGOTHIC 200AD -419AD
II/66,1,EARLY VANDAL 200AD - 442AD
II/67,2,GREUTHINGI\, EARLY OSTROGOTHIC\, HERUL\, SCIRI & TAIFALI 200AD - 493AD
II/68,2,PICTISH 211AD - 842AD
II/69,3,SASSANID PERSIAN 220AD - 651AD
II/70,2,BURGUNDI & LIMIGANTES 250AD - 539AD
II/71,1,GEPID 250AD - 566AD
II/72,4,EARLY FRANKISH\, ALAMANNIC\, SUEVI\, QUADI\, RUGIAN & TURCILINGI 250AD - 496AD\, 506AD\, 406AD\, 584AD\, 487AD & 493AD
II/73,1,OLD SAXON\, FRISIAN\, BAVARIAN\, THURINGIAN & EARLY-ANGLO-SAXON 250AD - 804AD
II/74,2,PALMYRAN 260AD - 273AD
II/75,1,PAEKCHE & KAYA KOREAN 300AD - 663AD
II/76,1,KOGURYO KOREAN 300AD - 668AD
II/77,2,SHILLA KOREAN 300AD - 935AD
II/78,2,LATE IMPERIAL ROMAN 307AD - 408AD
II/79,2,CHINESE NORTHERN & SOUTHERN DYNASTIES 317AD - 589AD
II/80,4,HUNNIC 356AD - 570AD
II/81,4,SUB-ROMAN BRITISH 407AD - 1034AD
II/82,2,PATRICIAN ROMAN 408AD - 493AD
II/83,2,LATER VISIGOTHIC 419AD - 720AD
II/84,1,AFRICAN VANDAL 442AD - 535AD
III/1,3,EARLY SLAV 476AD - 1218AD
III/2,1,EARLY LOMBARD 489AD - 584AD
III/3,1,ITALIAN OSTROGOTHIC 493AD - 561AD
III/4,2,EARLY BYZANTINE 493AD -578AD
III/5,2,MIDDLE FRANKISH 496AD - 639AD
III/6,2,EMISHI 500AD - 878AD
III/7,2,PRE-SAMURAI JAPANESE 500AD - 900AD
III/8,1,CENTRAL-ASIAN CITY STATES 500AD - 1000AD
III/9,2,BURMESE 500AD - 1526AD
III/10,3,HINDU INDIAN 545AD - 1510AD
III/11,2,CENTRAL ASIAN TURKISH 550AD - 1330AD
III/12,1,CHRISTIAN NUBIAN 550AD - 1500AD
III/13,2,AVAR 553AD - 826AD
III/14,3,EARLY BULGAR 558AD - 1018AD
III/15,1,TIBETAN 560AD - 1065AD
III/16,1,KHAZAR 568AD - 1083AD
III/17,1,MAURIKIAN BYZANTINE 575AD - 650AD
III/18,1,BRETON 580AD - 1072AD
III/19,3,WELSH 580AD - 1420AD
III/20,3,SUI & EARLY T'ANG CHINESE 581AD - 755AD
III/21,2,ITALIAN LOMBARD 584AD - 1076AD
III/22,4,MAYA 600AD - 1546AD
III/23,2,KHMER & CHAM 605AD - 1471AD
III/24,2,MIDDLE ANGLO-SAXON 617AD - 1016AD
III/25,3,ARAB CONQUEST 622AD - 660AD & KHAWARIJ 658AD - 873AD
III/26,2,EARLY SERBIAN OR CROATIAN 627AD - 1180AD
III/27,1,RSHTUNI ARMENIAN 639AD - 717AD
